date,open,high,low,close
2012-04-04,109.416827,109.510462,108.730139,109.135910
2012-04-05,108.761338,109.401196,108.667691,109.081261
2012-04-09,107.707938,109.120320,107.559675,107.856201
2012-04-10,107.645470,107.949795,105.936562,106.045807
2012-04-11,107.130486,107.325567,106.709117,106.904198
2012-04-12,107.005593,108.386755,106.927556,108.300919
2012-04-13,108.051297,108.324414,106.912020,107.013466
2012-04-16,107.559641,107.715703,106.576439,106.943192
2012-04-17,107.559656,108.745749,107.450411,108.527260
2012-04-18,108.043433,108.527229,107.981006,108.160477
2012-04-19,108.176146,108.581905,106.958844,107.466049
2012-04-20,107.942004,108.332165,107.583050,107.645477
2012-04-23,106.545222,106.833950,106.077036,106.740303
2012-04-24,106.833941,107.419182,106.748105,107.146065
2012-04-25,108.191732,108.659931,108.098098,108.613113
2012-04-26,108.378997,109.494865,108.316570,109.370010
2012-04-27,109.697763,109.861624,109.089112,109.549500
2012-04-30,109.330981,109.409018,108.847185,109.143700
2012-05-01,109.081255,110.540466,108.956413,109.822571
2012-05-02,109.182714,109.604095,108.823772,109.494850
2012-05-03,109.510453,109.596289,108.457025,108.659904
2012-05-04,108.090291,108.698942,106.841770,106.904198
2012-05-07,106.521817,107.341158,106.482810,106.982216
2012-05-08,106.342342,106.724704,105.281103,106.553032
2012-05-09,105.421569,106.599851,104.945572,105.920975
2012-05-10,106.654523,106.787188,105.897621,106.139519
2012-05-11,105.476198,106.802744,105.429381,105.819542
2012-05-14,104.805133,105.819555,104.493009,104.649071
2012-05-15,104.578820,105.195270,103.884334,104.048195
2012-05-16,104.516396,104.992394,103.626829,103.650238
2012-05-17,103.673659,103.798514,102.058386,102.113014
2012-05-18,102.510969,102.690452,101.090789,101.239052
2012-05-21,101.566767,103.018167,101.402894,102.979149
2012-05-22,103.244497,103.962392,102.487583,103.158661
2012-05-23,102.417347,103.361543,101.434145,103.213280
2012-05-24,103.494205,103.658066,102.550010,103.416168
2012-05-25,103.377096,103.665823,102.830873,103.080582
2012-05-29,103.907748,104.508588,102.354902,104.329117
2012-05-30,103.439530,104.321298,102.604591,102.815269
2012-05-31,102.776279,103.353710,101.707229,102.588997
2012-06-01,100.981522,102.612393,100.006119,100.006119
2012-06-04,100.185616,100.458734,99.210213,99.959328
2012-06-05,99.764232,100.864484,99.709610,100.716232
2012-06-06,101.418504,103.025966,101.387284,102.979149
2012-06-07,104.149629,104.196446,102.830882,103.041573
2012-06-08,102.776238,103.884294,102.448492,103.860886
2012-06-11,104.695869,104.758296,102.440737,102.542183
2012-06-12,102.838683,103.790678,102.347088,103.720451
2012-06-13,103.416132,104.063801,102.706035,103.057190
2012-06-14,103.267860,104.563198,102.986943,104.149628
2012-06-15,104.618722,105.308956,104.399101,105.214836
2012-06-18,104.775604,105.677620,104.540291,105.418777
2012-06-19,105.952158,106.869865,105.395253,106.438461
2012-06-20,106.446251,106.752153,105.316763,106.265839
2012-06-21,106.391346,106.501156,103.795097,103.881378
2012-06-22,104.422615,104.877549,104.022581,104.681458
2012-06-25,103.575529,103.614749,102.634292,103.002945
2012-06-26,103.300978,103.834353,102.697013,103.520599
2012-06-27,103.865713,104.657918,103.512751,104.453987
2012-06-28,103.763739,104.312805,102.971534,104.155922
2012-06-29,106.046261,106.885538,105.771740,106.752197
2012-07-02,107.050223,107.183564,106.297239,107.073753
2012-07-03,107.050242,107.858138,106.940432,107.779709
2012-07-05,107.379639,108.085575,106.901175,107.293358
2012-07-06,106.258060,106.493372,105.771757,106.273750
2012-07-09,106.187441,106.336472,105.654066,106.140381
2012-07-10,106.681596,106.854158,104.854023,105.214836
2012-07-11,105.269720,105.575622,104.618695,105.230499
2012-07-12,104.618706,105.285409,104.006901,104.720665
2012-07-13,104.995203,106.587464,104.979512,106.477654
2012-07-16,106.234498,106.540400,105.810934,106.226646
2012-07-17,106.650206,107.175730,105.536408,106.956108
2012-07-18,106.705099,107.960088,106.642360,107.748306
2012-07-19,107.967950,108.383663,107.622839,108.030701
2012-07-20,107.418866,107.583588,106.924724,107.042374
2012-07-23,105.473666,106.971807,104.979511,105.959969
2012-07-24,106.038411,106.085471,104.344178,105.050102
2012-07-25,105.269723,105.544244,104.516726,105.073631
2012-07-26,106.587454,107.034548,106.093300,106.807076
2012-07-27,107.371839,109.081763,106.783564,108.775848
2012-07-30,108.650359,109.293533,108.454267,108.775848
2012-07-31,108.626804,108.924854,108.014999,108.014999
2012-08-01,108.791553,108.815083,107.771875,107.920906
2012-08-02,107.105115,107.905171,106.344279,107.175705
2012-08-03,108.681743,109.528860,107.207132,109.301399
2012-08-06,109.591587,109.944549,109.466085,109.513145
2012-08-07,109.952380,110.532815,109.834730,110.062202
2012-08-08,109.693578,110.321061,109.662197,110.195572
2012-08-09,110.038662,110.509287,109.928852,110.289665
2012-08-10,109.842552,110.509268,109.662151,110.470047
2012-08-13,110.281851,110.470091,109.842596,110.415192
2012-08-14,110.823022,110.893624,110.101407,110.430840
2012-08-15,110.313192,110.744595,110.242602,110.556343
2012-08-16,110.713247,111.505464,110.438726,111.372124
2012-08-17,111.560308,111.615220,111.270097,111.521088
2012-08-20,111.364254,111.552506,111.058352,111.528976
2012-08-21,111.803447,112.234850,110.948491,111.191643
2012-08-22,110.909295,111.419140,110.650465,111.238739
2012-08-23,110.964215,110.972054,110.156319,110.328880
2012-08-24,110.054346,111.246585,109.983756,110.995583
2012-08-27,111.293667,111.442699,110.862264,111.019135
2012-08-28,110.736740,111.254425,110.572030,110.909302
2012-08-29,111.003434,111.293645,110.689680,110.995583
2012-08-30,110.517153,110.548534,109.960260,110.195572
2012-08-31,110.823021,111.238746,110.093567,110.721062
2012-09-04,110.626934,110.956378,109.913170,110.619095
2012-09-05,110.666174,110.964237,110.305372,110.524994
2012-09-06,111.191682,112.776104,111.183843,112.768265
2012-09-07,112.956479,113.254541,112.854519,113.207481
2012-09-10,113.097729,113.293821,112.525145,112.564354
2012-09-11,112.634893,113.238846,112.603511,112.878044
2012-09-12,113.254555,113.380056,112.870211,113.254555
2012-09-13,113.238871,115.333126,112.940820,114.980164
2012-09-14,115.207641,116.172407,115.113509,115.490013
2012-09-17,115.254710,115.450802,114.807616,115.097839
2012-09-18,114.901733,115.152724,114.713481,115.003693
2012-09-19,115.137027,115.435090,114.838976,115.066437
2012-09-20,114.540913,115.137026,114.227171,115.074287
2012-09-21,115.633350,115.657006,114.978850,115.026161
2012-09-24,114.458438,115.112938,114.371697,114.852715
2012-09-25,115.097156,115.317950,113.598899,113.630447
2012-09-26,113.606797,113.638333,112.723609,112.991714
2012-09-27,113.464822,114.316460,113.165168,114.056236
2012-09-28,113.622523,113.993144,113.125743,113.527901
2012-10-01,113.961659,114.884264,113.559489,113.827606
2012-10-02,114.277075,114.458439,113.417556,113.945885
2012-10-03,114.253402,114.679215,113.654106,114.411110
2012-10-04,114.844867,115.396852,114.687159,115.231262
2012-10-05,115.846294,116.043432,114.892140,115.239105
2012-10-08,114.813251,115.223289,114.584564,114.844788
2012-10-09,114.758097,114.852719,113.669890,113.709320
2012-10-10,113.693557,113.803966,112.834037,112.983864
2012-10-11,113.772380,113.937982,113.023258,113.046913
2012-10-12,113.125766,113.512149,112.431835,112.676285
2012-10-15,112.944410,113.732963,112.581683,113.614685
2012-10-16,114.150875,114.844806,114.072027,114.765945
